Manual_guild_change,Kingdom,Phylum,Class,Order,Family,Genus,Guild
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Coriolopsis,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Lentinus,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Auriporia,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Xylariales,Beltraniaceae,Hemibeltrania,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,Unassigned
NA,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Kochiomyces,Unassigned
NA,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,Cystobasidiopsis,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Morganella,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Geastrumia,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Dichomitus,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Mollisina,Unassigned
NA,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Trichomerium,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Heterobasidion,Unassigned
NA,Fungi,Basidiomycota,Microbotryomycetes,Kriegeriales,Kriegeriaceae,Phenoliferia,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,Unassigned
NA,Fungi,Basidiomycota,Microbotryomycetes,Kriegeriales,Kriegeriaceae,Libkindia,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Parapyrenochaetaceae,Parapyrenochaeta,Unassigned
NA,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Arpinia,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Pseudowrightoporia,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Ripartites,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Barbatosphaeria,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Papiliomyces,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Dothiora,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Acrospermales,Acrospermales_fam_Incertae_sedis,Leptodiscella,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Exidiaceae,Exidia,Unassigned
NA,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylella,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leohumicola,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Torulaceae,Torula,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Minutisphaerales,Minutisphaeraceae,Minutisphaera,Unassigned
NA,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis,Chrysozymaceae,Yurkovia,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Bovista,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Paracylindrocarpon,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Collybiopsis,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Lepista,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Hodophilus,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Hyaloriaceae,Protodontia,Unassigned
NA,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Trichomonascus,Unassigned
