"","ID","target","site","sample_type","sampling","plant","site2","x","y","y_m","x_m"
"NP10_005","NP10_005","plant","25","root","root","Acer","p025",36.52214,138.3502,-132828.792,58956.141
"NP10_006","NP10_006","plant","25","root","root","Acer","p025",36.52214,138.3502,-132828.792,58956.141
"NP10_008","NP10_008","plant","26","root","root","Acer","p026",36.52218,138.35029,-132820.662,58960.455
"NP10_009","NP10_009","plant","26","root","root","Pinus","p026",36.52218,138.35029,-132820.662,58960.455
"NP10_011","NP10_011","plant","26","root","root","Pinus","p026",36.52218,138.35029,-132820.662,58960.455
"NP10_012","NP10_012","plant","26","root","root","Pinus","p026",36.52218,138.35029,-132820.662,58960.455
"NP10_014","NP10_014","plant","26","root","root","Acer","p026",36.52218,138.35029,-132820.662,58960.455
"NP10_016","NP10_016","plant","26","root","root","Pinus","p026",36.52218,138.35029,-132820.662,58960.455
"NP10_017","NP10_017","plant","27","root","root","Acer","p027",36.52208,138.35039,-132811.877,58949.22
"NP10_018","NP10_018","plant","27","root","root","Acer","p027",36.52208,138.35039,-132811.877,58949.22
"NP10_019","NP10_019","plant","27","root","root","Acer","p027",36.52208,138.35039,-132811.877,58949.22
"NP10_020","NP10_020","plant","27","root","root","Acer","p027",36.52208,138.35039,-132811.877,58949.22
"NP10_021","NP10_021","plant","27","root","root","Acer","p027",36.52208,138.35039,-132811.877,58949.22
"NP10_022","NP10_022","plant","27","root","root","Acer","p027",36.52208,138.35039,-132811.877,58949.22
"NP10_024","NP10_024","plant","27","root","root","Acer","p027",36.52208,138.35039,-132811.877,58949.22
"NP10_027","NP10_027","plant","28","root","root","Pinus","p028",36.5221,138.35047,-132804.677,58951.329
"NP10_028","NP10_028","plant","28","root","root","Pinus","p028",36.5221,138.35047,-132804.677,58951.329
"NP10_029","NP10_029","plant","28","root","root","Pinus","p028",36.5221,138.35047,-132804.677,58951.329
"NP10_030","NP10_030","plant","28","root","root","Pinus","p028",36.5221,138.35047,-132804.677,58951.329
"NP10_032","NP10_032","plant","28","root","root","Pinus","p028",36.5221,138.35047,-132804.677,58951.329
"NP10_034","NP10_034","plant","29","root","root","Betula","p029",36.52083,138.34919,-132921.494,58812.166
"NP10_035","NP10_035","plant","29","root","root","Larix","p029",36.52083,138.34919,-132921.494,58812.166
"NP10_036","NP10_036","plant","29","root","root","Pinus","p029",36.52083,138.34919,-132921.494,58812.166
"NP10_037","NP10_037","plant","29","root","root","Larix","p029",36.52083,138.34919,-132921.494,58812.166
"NP10_038","NP10_038","plant","29","root","root","Larix","p029",36.52083,138.34919,-132921.494,58812.166
"NP10_039","NP10_039","plant","29","root","root","Larix","p029",36.52083,138.34919,-132921.494,58812.166
"NP10_041","NP10_041","plant","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NP10_042","NP10_042","plant","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NP10_043","NP10_043","plant","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NP10_044","NP10_044","plant","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NP10_045","NP10_045","plant","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NP10_046","NP10_046","plant","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NP10_047","NP10_047","plant","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NP10_048","NP10_048","plant","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NP10_052","NP10_052","plant","30","root","root","Betula","p030",36.52085,138.34917,-132923.251,58814.413
"NP10_054","NP10_054","plant","30","root","root","Larix","p030",36.52085,138.34917,-132923.251,58814.413
"NP10_055","NP10_055","plant","30","root","root","Larix","p030",36.52085,138.34917,-132923.251,58814.413
"NP10_056","NP10_056","plant","30","root","root","Larix","p030",36.52085,138.34917,-132923.251,58814.413
"NP10_057","NP10_057","plant","31","root","root","Betula","p031",36.5209,138.34916,-132924.062,58819.975
"NP10_058","NP10_058","plant","31","root","root","Betula","p031",36.5209,138.34916,-132924.062,58819.975
"NP10_059","NP10_059","plant","31","root","root","Betula","p031",36.5209,138.34916,-132924.062,58819.975
"NP10_060","NP10_060","plant","31","root","root","Betula","p031",36.5209,138.34916,-132924.062,58819.975
"NP10_061","NP10_061","plant","31","root","root","Betula","p031",36.5209,138.34916,-132924.062,58819.975
"NP10_062","NP10_062","plant","31","root","root","Betula","p031",36.5209,138.34916,-132924.062,58819.975
"NP10_063","NP10_063","plant","31","root","root","Betula","p031",36.5209,138.34916,-132924.062,58819.975
"NP10_064","NP10_064","plant","31","root","root","Betula","p031",36.5209,138.34916,-132924.062,58819.975
"NP10_068","NP10_068","plant","31","root","root","Acer","p031",36.5209,138.34916,-132924.062,58819.975
"NP10_069","NP10_069","plant","31","root","root","Picea","p031",36.5209,138.34916,-132924.062,58819.975
"NP10_071","NP10_071","plant","31","root","root","Acer","p031",36.5209,138.34916,-132924.062,58819.975
"NP10_073","NP10_073","plant","32","root","root","Juglans","p032",36.52094,138.34909,-132930.263,58824.511
"NP10_074","NP10_074","plant","32","root","root","Juglans","p032",36.52094,138.34909,-132930.263,58824.511
"NP10_075","NP10_075","plant","32","root","root","Juglans","p032",36.52094,138.34909,-132930.263,58824.511
"NP10_076","NP10_076","plant","32","root","root","Juglans","p032",36.52094,138.34909,-132930.263,58824.511
"NP10_077","NP10_077","plant","32","root","root","Juglans","p032",36.52094,138.34909,-132930.263,58824.511
"NP10_079","NP10_079","plant","32","root","root","Juglans","p032",36.52094,138.34909,-132930.263,58824.511
"NP10_080","NP10_080","plant","32","root","root","Juglans","p032",36.52094,138.34909,-132930.263,58824.511
"NP10_082","NP10_082","plant","32","root","root","Larix","p032",36.52094,138.34909,-132930.263,58824.511
"NP10_083","NP10_083","plant","32","root","root","Larix","p032",36.52094,138.34909,-132930.263,58824.511
"NP10_086","NP10_086","plant","32","root","root","Larix","p032",36.52094,138.34909,-132930.263,58824.511
"NP10_087","NP10_087","plant","32","root","root","Larix","p032",36.52094,138.34909,-132930.263,58824.511
"NP10_088","NP10_088","plant","32","root","root","Larix","p032",36.52094,138.34909,-132930.263,58824.511
"NP11_002","NP11_002","plant","33","root","root","Betula","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_003","NP11_003","plant","33","root","root","Betula","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_004","NP11_004","plant","33","root","root","Betula","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_005","NP11_005","plant","33","root","root","Betula","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_006","NP11_006","plant","33","root","root","Betula","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_007","NP11_007","plant","33","root","root","Betula","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_008","NP11_008","plant","33","root","root","Betula","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_009","NP11_009","plant","33","root","root","Betula","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_010","NP11_010","plant","33","root","root","Unidentified","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_011","NP11_011","plant","33","root","root","Betula","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_012","NP11_012","plant","33","root","root","Betula","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_013","NP11_013","plant","33","root","root","Betula","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_014","NP11_014","plant","33","root","root","Betula","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_015","NP11_015","plant","33","root","root","Betula","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_016","NP11_016","plant","33","root","root","Unidentified","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_022","NP11_022","plant","33","root","root","Larix","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_023","NP11_023","plant","33","root","root","Larix","p033",36.52117,138.34898,-132939.722,58850.185
"NP11_028","NP11_028","plant","34","root","root","Corylus","p034",36.52136,138.34889,-132947.457,58871.394
"NP11_029","NP11_029","plant","34","root","root","Corylus","p034",36.52136,138.34889,-132947.457,58871.394
"NP11_030","NP11_030","plant","34","root","root","Larix","p034",36.52136,138.34889,-132947.457,58871.394
"NP11_031","NP11_031","plant","34","root","root","Corylus","p034",36.52136,138.34889,-132947.457,58871.394
"NP11_033","NP11_033","plant","35","root","root","Juglans","p035",36.52155,138.34867,-132966.837,58892.782
"NP11_034","NP11_034","plant","35","root","root","Juglans","p035",36.52155,138.34867,-132966.837,58892.782
"NP11_035","NP11_035","plant","35","root","root","Juglans","p035",36.52155,138.34867,-132966.837,58892.782
"NP11_036","NP11_036","plant","35","root","root","Juglans","p035",36.52155,138.34867,-132966.837,58892.782
"NP11_037","NP11_037","plant","35","root","root","Juglans","p035",36.52155,138.34867,-132966.837,58892.782
"NP11_039","NP11_039","plant","35","root","root","Juglans","p035",36.52155,138.34867,-132966.837,58892.782
"NP11_040","NP11_040","plant","35","root","root","Juglans","p035",36.52155,138.34867,-132966.837,58892.782
"NP11_041","NP11_041","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_042","NP11_042","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_047","NP11_047","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_048","NP11_048","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_049","NP11_049","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_050","NP11_050","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_051","NP11_051","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_052","NP11_052","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_053","NP11_053","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_054","NP11_054","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_055","NP11_055","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_056","NP11_056","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_058","NP11_058","plant","36","root","root","Larix","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_059","NP11_059","plant","36","root","root","Larix","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_063","NP11_063","plant","36","root","root","Larix","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_064","NP11_064","plant","36","root","root","Larix","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_065","NP11_065","plant","36","root","root","Larix","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_068","NP11_068","plant","36","root","root","Unidentified","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_070","NP11_070","plant","36","root","root","Larix","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_073","NP11_073","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_074","NP11_074","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_076","NP11_076","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_077","NP11_077","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_078","NP11_078","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_079","NP11_079","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_080","NP11_080","plant","36","root","root","Betula","p036",36.52168,138.34877,-132957.658,58907.069
"NP11_081","NP11_081","plant","37","root","root","Pinus","p037",36.5219,138.34872,-132961.759,58931.552
"NP11_082","NP11_082","plant","37","root","root","Pinus","p037",36.5219,138.34872,-132961.759,58931.552
"NP11_083","NP11_083","plant","37","root","root","Pinus","p037",36.5219,138.34872,-132961.759,58931.552
"NP11_084","NP11_084","plant","37","root","root","Pinus","p037",36.5219,138.34872,-132961.759,58931.552
"NP11_085","NP11_085","plant","37","root","root","Pinus","p037",36.5219,138.34872,-132961.759,58931.552
"NP11_086","NP11_086","plant","37","root","root","Pinus","p037",36.5219,138.34872,-132961.759,58931.552
"NP11_087","NP11_087","plant","37","root","root","Pinus","p037",36.5219,138.34872,-132961.759,58931.552
"NP11_089","NP11_089","plant","38","root","root","Picea","p038",36.52198,138.34865,-132967.892,58940.526
"NP11_090","NP11_090","plant","38","root","root","Pinus","p038",36.52198,138.34865,-132967.892,58940.526
"NP11_092","NP11_092","plant","38","root","root","Pinus","p038",36.52198,138.34865,-132967.892,58940.526
"NP11_094","NP11_094","plant","38","root","root","Pinus","p038",36.52198,138.34865,-132967.892,58940.526
"NP11_095","NP11_095","plant","38","root","root","Pinus","p038",36.52198,138.34865,-132967.892,58940.526
"NP11_096","NP11_096","plant","38","root","root","Pinus","p038",36.52198,138.34865,-132967.892,58940.526
"NP12_002","NP12_002","plant","39","root","root","Betula","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_003","NP12_003","plant","39","root","root","Betula","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_004","NP12_004","plant","39","root","root","Betula","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_005","NP12_005","plant","39","root","root","Betula","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_006","NP12_006","plant","39","root","root","Betula","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_007","NP12_007","plant","39","root","root","Betula","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_008","NP12_008","plant","39","root","root","Betula","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_009","NP12_009","plant","39","root","root","Quercus","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_010","NP12_010","plant","39","root","root","Quercus","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_014","NP12_014","plant","39","root","root","Pinus","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_015","NP12_015","plant","39","root","root","Quercus","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_016","NP12_016","plant","39","root","root","Pinus","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_017","NP12_017","plant","39","root","root","Picea","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_019","NP12_019","plant","39","root","root","Picea","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_020","NP12_020","plant","39","root","root","Pinus","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_024","NP12_024","plant","39","root","root","Picea","p039",36.52205,138.3485,-132981.207,58948.501
"NP12_025","NP12_025","plant","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NP12_026","NP12_026","plant","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NP12_027","NP12_027","plant","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NP12_028","NP12_028","plant","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NP12_029","NP12_029","plant","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NP12_031","NP12_031","plant","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NP12_032","NP12_032","plant","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NP12_033","NP12_033","plant","40","root","root","Acer","p040",36.52109,138.34936,-132905.823,58840.783
"NP12_034","NP12_034","plant","40","root","root","Acer","p040",36.52109,138.34936,-132905.823,58840.783
"NP12_035","NP12_035","plant","40","root","root","Acer","p040",36.52109,138.34936,-132905.823,58840.783
"NP12_037","NP12_037","plant","40","root","root","Acer","p040",36.52109,138.34936,-132905.823,58840.783
"NP12_038","NP12_038","plant","40","root","root","Acer","p040",36.52109,138.34936,-132905.823,58840.783
"NP12_039","NP12_039","plant","40","root","root","Acer","p040",36.52109,138.34936,-132905.823,58840.783
"NP12_040","NP12_040","plant","40","root","root","Acer","p040",36.52109,138.34936,-132905.823,58840.783
"NP12_041","NP12_041","plant","123","root","root","Betula","p123",36.52128,138.34985,-132861.611,58861.191
"NP12_042","NP12_042","plant","123","root","root","Betula","p123",36.52128,138.34985,-132861.611,58861.191
"NP12_043","NP12_043","plant","123","root","root","Betula","p123",36.52128,138.34985,-132861.611,58861.191
"NP12_044","NP12_044","plant","123","root","root","Betula","p123",36.52128,138.34985,-132861.611,58861.191
"NP12_045","NP12_045","plant","123","root","root","Betula","p123",36.52128,138.34985,-132861.611,58861.191
"NP12_046","NP12_046","plant","123","root","root","Betula","p123",36.52128,138.34985,-132861.611,58861.191
"NP12_047","NP12_047","plant","123","root","root","Betula","p123",36.52128,138.34985,-132861.611,58861.191
"NP12_048","NP12_048","plant","123","root","root","Betula","p123",36.52128,138.34985,-132861.611,58861.191
"NP12_051","NP12_051","plant","123","root","root","Betula","p123",36.52128,138.34985,-132861.611,58861.191
"NP12_052","NP12_052","plant","123","root","root","Betula","p123",36.52128,138.34985,-132861.611,58861.191
"NP12_053","NP12_053","plant","123","root","root","Betula","p123",36.52128,138.34985,-132861.611,58861.191
"NP12_054","NP12_054","plant","123","root","root","Betula","p123",36.52128,138.34985,-132861.611,58861.191
"NP12_055","NP12_055","plant","123","root","root","Betula","p123",36.52128,138.34985,-132861.611,58861.191
"NP12_056","NP12_056","plant","123","root","root","Betula","p123",36.52128,138.34985,-132861.611,58861.191
"NP12_058","NP12_058","plant","42","root","root","Malus","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_061","NP12_061","plant","42","root","root","Betula","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_062","NP12_062","plant","42","root","root","Pinus","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_065","NP12_065","plant","42","root","root","Betula","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_066","NP12_066","plant","42","root","root","Betula","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_067","NP12_067","plant","42","root","root","Betula","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_068","NP12_068","plant","42","root","root","Betula","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_069","NP12_069","plant","42","root","root","Betula","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_070","NP12_070","plant","42","root","root","Betula","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_071","NP12_071","plant","42","root","root","Betula","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_073","NP12_073","plant","42","root","root","Populus","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_075","NP12_075","plant","42","root","root","Betula","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_076","NP12_076","plant","42","root","root","Betula","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_077","NP12_077","plant","42","root","root","Betula","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_080","NP12_080","plant","42","root","root","Pinus","p042",36.52223,138.34876,-132957.612,58968.116
"NP12_081","NP12_081","plant","43","root","root","Betula","p043",36.52225,138.34865,-132967.43,58970.487
"NP12_082","NP12_082","plant","43","root","root","Betula","p043",36.52225,138.34865,-132967.43,58970.487
"NP12_083","NP12_083","plant","43","root","root","Betula","p043",36.52225,138.34865,-132967.43,58970.487
"NP12_085","NP12_085","plant","43","root","root","Betula","p043",36.52225,138.34865,-132967.43,58970.487
"NP12_086","NP12_086","plant","43","root","root","Betula","p043",36.52225,138.34865,-132967.43,58970.487
"NP12_087","NP12_087","plant","43","root","root","Betula","p043",36.52225,138.34865,-132967.43,58970.487
"NP12_088","NP12_088","plant","43","root","root","Betula","p043",36.52225,138.34865,-132967.43,58970.487
"NP12_089","NP12_089","plant","43","root","root","Populus","p043",36.52225,138.34865,-132967.43,58970.487
"NP12_091","NP12_091","plant","43","root","root","Betula","p043",36.52225,138.34865,-132967.43,58970.487
"NP12_094","NP12_094","plant","43","root","root","Populus","p043",36.52225,138.34865,-132967.43,58970.487
"NP12_095","NP12_095","plant","43","root","root","Populus","p043",36.52225,138.34865,-132967.43,58970.487
"NP13_002","NP13_002","plant","44","root","root","Betula","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_003","NP13_003","plant","44","root","root","Betula","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_004","NP13_004","plant","44","root","root","Betula","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_007","NP13_007","plant","44","root","root","Betula","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_008","NP13_008","plant","44","root","root","Betula","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_009","NP13_009","plant","44","root","root","Unidentified","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_010","NP13_010","plant","44","root","root","Populus","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_014","NP13_014","plant","44","root","root","Populus","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_016","NP13_016","plant","44","root","root","Populus","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_017","NP13_017","plant","44","root","root","Populus","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_018","NP13_018","plant","44","root","root","Populus","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_020","NP13_020","plant","44","root","root","Populus","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_021","NP13_021","plant","44","root","root","Unidentified","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_022","NP13_022","plant","44","root","root","Populus","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_023","NP13_023","plant","44","root","root","Populus","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_025","NP13_025","plant","44","root","root","Betula","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_026","NP13_026","plant","44","root","root","Betula","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_027","NP13_027","plant","44","root","root","Betula","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_028","NP13_028","plant","44","root","root","Betula","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_029","NP13_029","plant","44","root","root","Betula","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_030","NP13_030","plant","44","root","root","Betula","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_031","NP13_031","plant","44","root","root","Betula","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_032","NP13_032","plant","44","root","root","Betula","p044",36.52215,138.34876,-132957.749,58959.239
"NP13_033","NP13_033","plant","45","root","root","Unidentified","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_034","NP13_034","plant","45","root","root","Betula","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_035","NP13_035","plant","45","root","root","Betula","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_036","NP13_036","plant","45","root","root","Betula","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_037","NP13_037","plant","45","root","root","Betula","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_038","NP13_038","plant","45","root","root","Betula","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_039","NP13_039","plant","45","root","root","Betula","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_040","NP13_040","plant","45","root","root","Betula","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_043","NP13_043","plant","45","root","root","Betula","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_046","NP13_046","plant","45","root","root","Pinus","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_050","NP13_050","plant","45","root","root","Betula","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_051","NP13_051","plant","45","root","root","Pinus","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_054","NP13_054","plant","45","root","root","Betula","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_055","NP13_055","plant","45","root","root","Pinus","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_056","NP13_056","plant","45","root","root","Pinus","p045",36.52225,138.34889,-132945.934,58970.156
"NP13_059","NP13_059","plant","46","root","root","Acer","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_060","NP13_060","plant","46","root","root","Acer","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_061","NP13_061","plant","46","root","root","Acer","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_062","NP13_062","plant","46","root","root","Juglans","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_063","NP13_063","plant","46","root","root","Acer","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_065","NP13_065","plant","46","root","root","Acer","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_066","NP13_066","plant","46","root","root","Acer","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_067","NP13_067","plant","46","root","root","Acer","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_069","NP13_069","plant","46","root","root","Acer","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_070","NP13_070","plant","46","root","root","Acer","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_072","NP13_072","plant","46","root","root","Acer","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_073","NP13_073","plant","46","root","root","Acer","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_074","NP13_074","plant","46","root","root","Acer","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_075","NP13_075","plant","46","root","root","Acer","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_076","NP13_076","plant","46","root","root","Unidentified","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_079","NP13_079","plant","46","root","root","Acer","p046",36.52121,138.34945,-132897.557,58853.975
"NP13_081","NP13_081","plant","47","root","root","Pinus","p047",36.52147,138.34951,-132891.738,58882.744
"NP13_082","NP13_082","plant","47","root","root","Pinus","p047",36.52147,138.34951,-132891.738,58882.744
"NP13_090","NP13_090","plant","47","root","root","Betula","p047",36.52147,138.34951,-132891.738,58882.744
"NP13_091","NP13_091","plant","47","root","root","Betula","p047",36.52147,138.34951,-132891.738,58882.744
"NP13_092","NP13_092","plant","47","root","root","Betula","p047",36.52147,138.34951,-132891.738,58882.744
"NP13_093","NP13_093","plant","47","root","root","Betula","p047",36.52147,138.34951,-132891.738,58882.744
"NP14_001","NP14_001","plant","48","root","root","Juglans","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_002","NP14_002","plant","48","root","root","Unidentified","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_003","NP14_003","plant","48","root","root","Unidentified","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_005","NP14_005","plant","48","root","root","Unidentified","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_006","NP14_006","plant","48","root","root","Unidentified","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_007","NP14_007","plant","48","root","root","Unidentified","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_008","NP14_008","plant","48","root","root","Pinus","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_009","NP14_009","plant","48","root","root","Unidentified","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_010","NP14_010","plant","48","root","root","Pinus","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_011","NP14_011","plant","48","root","root","Pinus","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_014","NP14_014","plant","48","root","root","Pinus","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_015","NP14_015","plant","48","root","root","Pinus","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_017","NP14_017","plant","48","root","root","Acer","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_018","NP14_018","plant","48","root","root","Acer","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_019","NP14_019","plant","48","root","root","Acer","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_022","NP14_022","plant","48","root","root","Pinus","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_024","NP14_024","plant","48","root","root","Pinus","p048",36.52156,138.3495,-132892.48,58892.745
"NP14_027","NP14_027","plant","49","root","root","Pinus","p049",36.52165,138.34957,-132886.056,58902.636
"NP14_028","NP14_028","plant","49","root","root","Pinus","p049",36.52165,138.34957,-132886.056,58902.636
