"","ID","target","site","sample_type","sampling","plant","site2","x","y","y_m","x_m"
"NF_0130","NF_0130","fungi","39","root","root","Quercus","p039",36.52205,138.3485,-132981.207,58948.501
"NF_0131","NF_0131","fungi","39","root","root","Quercus","p039",36.52205,138.3485,-132981.207,58948.501
"NF_0133","NF_0133","fungi","39","root","root","Quercus","p039",36.52205,138.3485,-132981.207,58948.501
"NF_0134","NF_0134","fungi","39","root","root","Quercus","p039",36.52205,138.3485,-132981.207,58948.501
"NF_0136","NF_0136","fungi","39","root","root","Quercus","p039",36.52205,138.3485,-132981.207,58948.501
"NF_0137","NF_0137","fungi","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NF_0142","NF_0142","fungi","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NF_0143","NF_0143","fungi","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NF_0144","NF_0144","fungi","40","root","root","Betula","p040",36.52109,138.34936,-132905.823,58840.783
"NF_0145","NF_0145","fungi","57","root","root","Pinus","p057",36.52227,138.35024,-132824.987,58970.511
"NF_0146","NF_0146","fungi","57","root","root","Pinus","p057",36.52227,138.35024,-132824.987,58970.511
"NF_0147","NF_0147","fungi","57","root","root","Pinus","p057",36.52227,138.35024,-132824.987,58970.511
"NF_0148","NF_0148","fungi","57","root","root","Pinus","p057",36.52227,138.35024,-132824.987,58970.511
"NF_0149","NF_0149","fungi","57","root","root","Pinus","p057",36.52227,138.35024,-132824.987,58970.511
"NF_0150","NF_0150","fungi","57","root","root","Pinus","p057",36.52227,138.35024,-132824.987,58970.511
"NF_0151","NF_0151","fungi","57","root","root","Pinus","p057",36.52227,138.35024,-132824.987,58970.511
"NF_0152","NF_0152","fungi","57","root","root","Pinus","p057",36.52227,138.35024,-132824.987,58970.511
"NF_0153","NF_0153","fungi","58","root","root","Betula","p058",36.5222,138.35037,-132813.463,58962.564
"NF_0154","NF_0154","fungi","58","root","root","Betula","p058",36.5222,138.35037,-132813.463,58962.564
"NF_0155","NF_0155","fungi","58","root","root","Betula","p058",36.5222,138.35037,-132813.463,58962.564
"NF_0156","NF_0156","fungi","58","root","root","Betula","p058",36.5222,138.35037,-132813.463,58962.564
"NF_0157","NF_0157","fungi","58","root","root","Betula","p058",36.5222,138.35037,-132813.463,58962.564
"NF_0158","NF_0158","fungi","58","root","root","Betula","p058",36.5222,138.35037,-132813.463,58962.564
"NF_0159","NF_0159","fungi","58","root","root","Betula","p058",36.5222,138.35037,-132813.463,58962.564
"NF_0160","NF_0160","fungi","58","root","root","Betula","p058",36.5222,138.35037,-132813.463,58962.564
"NF_0161","NF_0161","fungi","59","root","root","Pinus","p059",36.52217,138.35053,-132799.184,58959.014
"NF_0163","NF_0163","fungi","59","root","root","Pinus","p059",36.52217,138.35053,-132799.184,58959.014
"NF_0164","NF_0164","fungi","59","root","root","Pinus","p059",36.52217,138.35053,-132799.184,58959.014
"NF_0165","NF_0165","fungi","59","root","root","Pinus","p059",36.52217,138.35053,-132799.184,58959.014
"NF_0166","NF_0166","fungi","59","root","root","Pinus","p059",36.52217,138.35053,-132799.184,58959.014
"NF_0168","NF_0168","fungi","59","root","root","Pinus","p059",36.52217,138.35053,-132799.184,58959.014
"NF_0169","NF_0169","fungi","60","root","root","Betula","p060",36.52212,138.35063,-132790.313,58953.328
"NF_0171","NF_0171","fungi","60","root","root","Pinus","p060",36.52212,138.35063,-132790.313,58953.328
"NF_0177","NF_0177","fungi","61","root","root","Quercus","p061",36.52201,138.3507,-132784.231,58941.025
"NF_0178","NF_0178","fungi","61","root","root","Quercus","p061",36.52201,138.3507,-132784.231,58941.025
"NF_0179","NF_0179","fungi","61","root","root","Quercus","p061",36.52201,138.3507,-132784.231,58941.025
"NF_0180","NF_0180","fungi","61","root","root","Quercus","p061",36.52201,138.3507,-132784.231,58941.025
"NF_0181","NF_0181","fungi","61","root","root","Quercus","p061",36.52201,138.3507,-132784.231,58941.025
"NF_0182","NF_0182","fungi","61","root","root","Quercus","p061",36.52201,138.3507,-132784.231,58941.025
"NF_0184","NF_0184","fungi","61","root","root","Quercus","p061",36.52201,138.3507,-132784.231,58941.025
"NF_0197","NF_0197","fungi","62","root","root","Betula","p062",36.52188,138.35064,-132789.827,58926.682
"NF_0202","NF_0202","fungi","64","root","root","Betula","p064",36.52161,138.35082,-132774.167,58896.472
"NF_0203","NF_0203","fungi","64","root","root","Unidentified","p064",36.52161,138.35082,-132774.167,58896.472
"NF_0204","NF_0204","fungi","64","root","root","Betula","p064",36.52161,138.35082,-132774.167,58896.472
"NF_0205","NF_0205","fungi","64","root","root","Betula","p064",36.52161,138.35082,-132774.167,58896.472
"NF_0206","NF_0206","fungi","64","root","root","Betula","p064",36.52161,138.35082,-132774.167,58896.472
"NF_0207","NF_0207","fungi","64","root","root","Betula","p064",36.52161,138.35082,-132774.167,58896.472
"NF_0210","NF_0210","fungi","66","root","root","Pinus","p066",36.52138,138.35048,-132805.013,58871.418
"NF_0211","NF_0211","fungi","66","root","root","Toxicodendron","p066",36.52138,138.35048,-132805.013,58871.418
"NF_0212","NF_0212","fungi","66","root","root","Pinus","p066",36.52138,138.35048,-132805.013,58871.418
"NF_0213","NF_0213","fungi","66","root","root","Pinus","p066",36.52138,138.35048,-132805.013,58871.418
"NF_0215","NF_0215","fungi","66","root","root","Pinus","p066",36.52138,138.35048,-132805.013,58871.418
"NF_0216","NF_0216","fungi","66","root","root","Pinus","p066",36.52138,138.35048,-132805.013,58871.418
"NF_0217","NF_0217","fungi","67","root","root","Betula","p067",36.52157,138.35026,-132824.392,58892.806
"NF_0218","NF_0218","fungi","67","root","root","Betula","p067",36.52157,138.35026,-132824.392,58892.806
"NF_0219","NF_0219","fungi","67","root","root","Betula","p067",36.52157,138.35026,-132824.392,58892.806
"NF_0220","NF_0220","fungi","67","root","root","Betula","p067",36.52157,138.35026,-132824.392,58892.806
"NF_0221","NF_0221","fungi","67","root","root","Betula","p067",36.52157,138.35026,-132824.392,58892.806
"NF_0222","NF_0222","fungi","67","root","root","Betula","p067",36.52157,138.35026,-132824.392,58892.806
"NF_0223","NF_0223","fungi","67","root","root","Betula","p067",36.52157,138.35026,-132824.392,58892.806
"NF_0224","NF_0224","fungi","67","root","root","Betula","p067",36.52157,138.35026,-132824.392,58892.806
"NF_0226","NF_0226","fungi","68","root","root","Acer","p068",36.5215,138.35009,-132839.738,58885.272
"NF_0227","NF_0227","fungi","68","root","root","Acer","p068",36.5215,138.35009,-132839.738,58885.272
"NF_0228","NF_0228","fungi","68","root","root","Acer","p068",36.5215,138.35009,-132839.738,58885.272
"NF_0229","NF_0229","fungi","68","root","root","Acer","p068",36.5215,138.35009,-132839.738,58885.272
"NF_0230","NF_0230","fungi","68","root","root","Acer","p068",36.5215,138.35009,-132839.738,58885.272
"NF_0231","NF_0231","fungi","68","root","root","Acer","p068",36.5215,138.35009,-132839.738,58885.272
"NF_0233","NF_0233","fungi","70","root","root","Toxicodendron","p070",36.52135,138.34983,-132863.282,58868.986
"NF_0234","NF_0234","fungi","70","root","root","Toxicodendron","p070",36.52135,138.34983,-132863.282,58868.986
"NF_0237","NF_0237","fungi","70","root","root","Toxicodendron","p070",36.52135,138.34983,-132863.282,58868.986
"NF_0238","NF_0238","fungi","70","root","root","Toxicodendron","p070",36.52135,138.34983,-132863.282,58868.986
"NF_0239","NF_0239","fungi","70","root","root","Toxicodendron","p070",36.52135,138.34983,-132863.282,58868.986
"NF_0241","NF_0241","fungi","71","root","root","Betula","p071",36.52153,138.34965,-132879.096,58889.209
"NF_0242","NF_0242","fungi","71","root","root","Betula","p071",36.52153,138.34965,-132879.096,58889.209
"NF_0243","NF_0243","fungi","71","root","root","Betula","p071",36.52153,138.34965,-132879.096,58889.209
"NF_0244","NF_0244","fungi","71","root","root","Betula","p071",36.52153,138.34965,-132879.096,58889.209
"NF_0245","NF_0245","fungi","71","root","root","Betula","p071",36.52153,138.34965,-132879.096,58889.209
"NF_0246","NF_0246","fungi","71","root","root","Betula","p071",36.52153,138.34965,-132879.096,58889.209
"NF_0247","NF_0247","fungi","71","root","root","Betula","p071",36.52153,138.34965,-132879.096,58889.209
"NF_0248","NF_0248","fungi","71","root","root","Betula","p071",36.52153,138.34965,-132879.096,58889.209
"NF_0249","NF_0249","fungi","72","root","root","Quercus","p072",36.52166,138.34985,-132860.961,58903.359
"NF_0250","NF_0250","fungi","72","root","root","Quercus","p072",36.52166,138.34985,-132860.961,58903.359
"NF_0251","NF_0251","fungi","72","root","root","Quercus","p072",36.52166,138.34985,-132860.961,58903.359
"NF_0252","NF_0252","fungi","72","root","root","Quercus","p072",36.52166,138.34985,-132860.961,58903.359
"NF_0253","NF_0253","fungi","72","root","root","Quercus","p072",36.52166,138.34985,-132860.961,58903.359
"NF_0255","NF_0255","fungi","72","root","root","Quercus","p072",36.52166,138.34985,-132860.961,58903.359
"NF_0256","NF_0256","fungi","72","root","root","Quercus","p072",36.52166,138.34985,-132860.961,58903.359
"NF_0257","NF_0257","fungi","81","root","root","Populus","p081",36.52216,138.34985,-132860.105,58958.843
"NF_0258","NF_0258","fungi","81","root","root","Populus","p081",36.52216,138.34985,-132860.105,58958.843
"NF_0259","NF_0259","fungi","81","root","root","Populus","p081",36.52216,138.34985,-132860.105,58958.843
"NF_0260","NF_0260","fungi","81","root","root","Populus","p081",36.52216,138.34985,-132860.105,58958.843
"NF_0261","NF_0261","fungi","81","root","root","Populus","p081",36.52216,138.34985,-132860.105,58958.843
"NF_0262","NF_0262","fungi","81","root","root","Populus","p081",36.52216,138.34985,-132860.105,58958.843
"NF_0263","NF_0263","fungi","81","root","root","Populus","p081",36.52216,138.34985,-132860.105,58958.843
"NF_0264","NF_0264","fungi","81","root","root","Populus","p081",36.52216,138.34985,-132860.105,58958.843
"NF_0266","NF_0266","fungi","82","root","root","Acer","p082",36.52238,138.35061,-132791.66,58982.207
"NF_0267","NF_0267","fungi","82","root","root","Acer","p082",36.52238,138.35061,-132791.66,58982.207
"NF_0268","NF_0268","fungi","82","root","root","Acer","p082",36.52238,138.35061,-132791.66,58982.207
"NF_0269","NF_0269","fungi","82","root","root","Acer","p082",36.52238,138.35061,-132791.66,58982.207
"NF_0270","NF_0270","fungi","82","root","root","Acer","p082",36.52238,138.35061,-132791.66,58982.207
"NF_0271","NF_0271","fungi","82","root","root","Acer","p082",36.52238,138.35061,-132791.66,58982.207
"NF_0273","NF_0273","fungi","84","root","root","Pinus","p084",36.52205,138.35131,-132729.528,58944.622
"NF_0274","NF_0274","fungi","84","root","root","Pinus","p084",36.52205,138.35131,-132729.528,58944.622
"NF_0275","NF_0275","fungi","84","root","root","Pinus","p084",36.52205,138.35131,-132729.528,58944.622
"NF_0277","NF_0277","fungi","84","root","root","Pinus","p084",36.52205,138.35131,-132729.528,58944.622
"NF_0278","NF_0278","fungi","84","root","root","Pinus","p084",36.52205,138.35131,-132729.528,58944.622
"NF_0279","NF_0279","fungi","84","root","root","Pinus","p084",36.52205,138.35131,-132729.528,58944.622
"NF_0280","NF_0280","fungi","84","root","root","Pinus","p084",36.52205,138.35131,-132729.528,58944.622
"NF_0281","NF_0281","fungi","85","root","root","Pinus","p085",36.52205,138.35144,-132717.884,58944.443
"NF_0283","NF_0283","fungi","85","root","root","Pinus","p085",36.52205,138.35144,-132717.884,58944.443
"NF_0285","NF_0285","fungi","85","root","root","Quercus","p085",36.52205,138.35144,-132717.884,58944.443
"NF_0286","NF_0286","fungi","85","root","root","Pinus","p085",36.52205,138.35144,-132717.884,58944.443
"NF_0287","NF_0287","fungi","85","root","root","Pinus","p085",36.52205,138.35144,-132717.884,58944.443
"NF_0288","NF_0288","fungi","85","root","root","Quercus","p085",36.52205,138.35144,-132717.884,58944.443
"NF_0289","NF_0289","fungi","86","root","root","Pinus","p086",36.5221,138.3516,-132703.468,58949.771
"NF_0290","NF_0290","fungi","86","root","root","Prunus","p086",36.5221,138.3516,-132703.468,58949.771
"NF_0291","NF_0291","fungi","86","root","root","Pinus","p086",36.5221,138.3516,-132703.468,58949.771
"NF_0292","NF_0292","fungi","86","root","root","Prunus","p086",36.5221,138.3516,-132703.468,58949.771
"NF_0293","NF_0293","fungi","86","root","root","Prunus","p086",36.5221,138.3516,-132703.468,58949.771
"NF_0294","NF_0294","fungi","86","root","root","Pinus","p086",36.5221,138.3516,-132703.468,58949.771
"NF_0297","NF_0297","fungi","87","root","root","Acer","p087",36.52217,138.3507,-132783.958,58958.78
"NF_0298","NF_0298","fungi","87","root","root","Pinus","p087",36.52217,138.3507,-132783.958,58958.78
"NF_0300","NF_0300","fungi","87","root","root","Pinus","p087",36.52217,138.3507,-132783.958,58958.78
"NF_0301","NF_0301","fungi","87","root","root","Pinus","p087",36.52217,138.3507,-132783.958,58958.78
"NF_0302","NF_0302","fungi","87","root","root","Acer","p087",36.52217,138.3507,-132783.958,58958.78
"NF_0304","NF_0304","fungi","87","root","root","Pinus","p087",36.52217,138.3507,-132783.958,58958.78
"NF_0305","NF_0305","fungi","88","root","root","Betula","p088",36.52222,138.35055,-132797.307,58964.535
"NF_0306","NF_0306","fungi","88","root","root","Betula","p088",36.52222,138.35055,-132797.307,58964.535
"NF_0307","NF_0307","fungi","88","root","root","Betula","p088",36.52222,138.35055,-132797.307,58964.535
"NF_0308","NF_0308","fungi","88","root","root","Betula","p088",36.52222,138.35055,-132797.307,58964.535
"NF_0309","NF_0309","fungi","88","root","root","Betula","p088",36.52222,138.35055,-132797.307,58964.535
"NF_0310","NF_0310","fungi","88","root","root","Betula","p088",36.52222,138.35055,-132797.307,58964.535
"NF_0311","NF_0311","fungi","88","root","root","Betula","p088",36.52222,138.35055,-132797.307,58964.535
"NF_0312","NF_0312","fungi","88","root","root","Betula","p088",36.52222,138.35055,-132797.307,58964.535
"NF_0313","NF_0313","fungi","90","root","root","Acer","p090",36.52204,138.35028,-132821.798,58944.933
"NF_0314","NF_0314","fungi","90","root","root","Pinus","p090",36.52204,138.35028,-132821.798,58944.933
"NF_0315","NF_0315","fungi","90","root","root","Pinus","p090",36.52204,138.35028,-132821.798,58944.933
"NF_0317","NF_0317","fungi","90","root","root","Acer","p090",36.52204,138.35028,-132821.798,58944.933
"NF_0318","NF_0318","fungi","90","root","root","Pinus","p090",36.52204,138.35028,-132821.798,58944.933
"NF_0321","NF_0321","fungi","91","root","root","Betula","p091",36.52167,138.35031,-132819.743,58903.833
"NF_0322","NF_0322","fungi","91","root","root","Betula","p091",36.52167,138.35031,-132819.743,58903.833
"NF_0323","NF_0323","fungi","91","root","root","Betula","p091",36.52167,138.35031,-132819.743,58903.833
"NF_0324","NF_0324","fungi","91","root","root","Betula","p091",36.52167,138.35031,-132819.743,58903.833
"NF_0325","NF_0325","fungi","91","root","root","Betula","p091",36.52167,138.35031,-132819.743,58903.833
"NF_0326","NF_0326","fungi","91","root","root","Unidentified","p091",36.52167,138.35031,-132819.743,58903.833
"NF_0327","NF_0327","fungi","91","root","root","Betula","p091",36.52167,138.35031,-132819.743,58903.833
"NF_0328","NF_0328","fungi","91","root","root","Betula","p091",36.52167,138.35031,-132819.743,58903.833
"NF_0329","NF_0329","fungi","92","root","root","Pinus","p092",36.52143,138.35038,-132813.884,58877.104
"NF_0330","NF_0330","fungi","92","root","root","Larix","p092",36.52143,138.35038,-132813.884,58877.104
"NF_0332","NF_0332","fungi","92","root","root","Larix","p092",36.52143,138.35038,-132813.884,58877.104
"NF_0333","NF_0333","fungi","92","root","root","Pinus","p092",36.52143,138.35038,-132813.884,58877.104
"NF_0334","NF_0334","fungi","92","root","root","Pinus","p092",36.52143,138.35038,-132813.884,58877.104
"NF_0335","NF_0335","fungi","92","root","root","Pinus","p092",36.52143,138.35038,-132813.884,58877.104
"NF_0336","NF_0336","fungi","92","root","root","Pinus","p092",36.52143,138.35038,-132813.884,58877.104
"NF_0337","NF_0337","fungi","93","root","root","Pinus","p093",36.52141,138.35021,-132829.144,58875.12
"NF_0338","NF_0338","fungi","93","root","root","Pinus","p093",36.52141,138.35021,-132829.144,58875.12
"NF_0339","NF_0339","fungi","93","root","root","Unidentified","p093",36.52141,138.35021,-132829.144,58875.12
"NF_0340","NF_0340","fungi","93","root","root","Pinus","p093",36.52141,138.35021,-132829.144,58875.12
"NF_0341","NF_0341","fungi","93","root","root","Pinus","p093",36.52141,138.35021,-132829.144,58875.12
"NF_0342","NF_0342","fungi","93","root","root","Pinus","p093",36.52141,138.35021,-132829.144,58875.12
"NF_0343","NF_0343","fungi","93","root","root","Pinus","p093",36.52141,138.35021,-132829.144,58875.12
"NF_0344","NF_0344","fungi","93","root","root","Pinus","p093",36.52141,138.35021,-132829.144,58875.12
"NF_0345","NF_0345","fungi","94","root","root","Betula","p094",36.52125,138.35,-132848.227,58857.655
"NF_0346","NF_0346","fungi","94","root","root","Betula","p094",36.52125,138.35,-132848.227,58857.655
"NF_0347","NF_0347","fungi","94","root","root","Betula","p094",36.52125,138.35,-132848.227,58857.655
"NF_0348","NF_0348","fungi","94","root","root","Betula","p094",36.52125,138.35,-132848.227,58857.655
"NF_0349","NF_0349","fungi","94","root","root","Betula","p094",36.52125,138.35,-132848.227,58857.655
"NF_0350","NF_0350","fungi","94","root","root","Betula","p094",36.52125,138.35,-132848.227,58857.655
"NF_0351","NF_0351","fungi","94","root","root","Betula","p094",36.52125,138.35,-132848.227,58857.655
"NF_0352","NF_0352","fungi","94","root","root","Betula","p094",36.52125,138.35,-132848.227,58857.655
"NF_0353","NF_0353","fungi","95","root","root","Pinus","p095",36.52112,138.35002,-132846.658,58843.201
