"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Guild"
"X_21010","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21021","Fungi","Basidiomycota","Agaricomycetes","Agaricomycetes_ord_Incertae_sedis","Agaricomycetes_fam_Incertae_sedis","Xenasmatella","Unidentified","Unassigned"
"X_21025","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycenaceae_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21032","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","Unidentified","Endophyte"
"X_21033","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Unidentified","Unidentified","Unidentified"
"X_21035","Viridiplantae","Anthophyta","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21046","Fungi","Ascomycota","Leotiomycetes","Helotiales","Vibrisseaceae","Vibrissea","Unidentified","Unassigned"
"X_21055","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliales_fam_Incertae_sedis","Orbiliales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21064","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21065","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21075","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21083","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21085","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Sporothrix","inflata","Unassigned"
"X_21099","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Chrysosporium","carmichaelii","Unassigned"
"X_21100","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Amphisphaeriales_fam_Incertae_sedis","Amphisphaeriales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21102","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Steccherinaceae","Junghuhnia","rhinocephala","Unassigned"
"X_21109","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21117","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21120","Fungi","Kickxellomycota","Ramicandelaberomycetes","Ramicandelaberales","Ramicandelaberales_fam_Incertae_sedis","Ramicandelaberales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21121","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Cheilymenia","Unidentified","Unassigned"
"X_21127","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Debaryomyces","Unidentified","Unassigned"
"X_21142","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21143","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Pseudobaeospora","pyrifera","Unassigned"
"X_21159","Fungi","Kickxellomycota","Ramicandelaberomycetes","Ramicandelaberales","Ramicandelaberales_fam_Incertae_sedis","Ramicandelaberales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21175","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavaria","Unidentified","Unassigned"
"X_21177","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Sistotrema","oblongisporum","EcMF"
"X_21187","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
