"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Guild"
"X_00084","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Unidentified","Unidentified","Unidentified"
"X_00120","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","adusta","EcMF"
"X_00149","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","fuckelii","Unassigned"
"X_00176","Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Phialocephala","fortinii","Endophyte"
"X_00218","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","griseostipitata","EcMF"
"X_00226","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","tabidus","EcMF"
"X_00235","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","nyingchiensis","Endophyte"
"X_00249","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","sanguinea","EcMF"
"X_00265","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","velenovskyi","EcMF"
"X_00282","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","ochroleuca","EcMF"
"X_00286","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Unidentified","Other_RAF"
"X_00289","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","radiosa","EcMF"
"X_00337","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","vinaceorufescens","EcMF"
"X_00361","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Unidentified","Unidentified","Unidentified"
"X_00366","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","citrinomarginata","Other_RAF"
"X_00369","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Unidentified","EcMF"
"X_00389","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Glutinomyces","Unidentified","Endophyte"
"X_00397","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","detersa","EcMF"
"X_00409","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","majus","Endophyte"
"X_00418","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","byssina","EcMF"
"X_00436","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","virescens","EcMF"
"X_00440","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","amethystina","EcMF"
"X_00452","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Glutinomyces","Unidentified","Endophyte"
"X_00467","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","cabanerensis","Endophyte"
"X_00483","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_00503","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Leucoscypha","Unidentified","Unassigned"
"X_00536","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","viridilutescens","EcMF"
"X_00581","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Delicatula","Unidentified","Unassigned"
"X_00608","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","portentosum","EcMF"
"X_00618","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Gorgomyces","Unidentified","Unassigned"
"X_00625","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Cistella","Unidentified","Unassigned"
"X_00651","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_00682","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","vraolstadiae","Unassigned"
"X_00683","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","Unidentified","Unassigned"
"X_00684","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","botryoides","EcMF"
"X_00693","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Unidentified","EcMF"
"X_00700","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","crenulata","EcMF"
"X_00707","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Pilodermataceae","Piloderma","Unidentified","EcMF"
"X_00723","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","maius","Endophyte"
"X_00732","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unidentified","EcMF"
"X_00739","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Naucoria","Unidentified","EcMF"
"X_00741","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","Unidentified","EcMF"
"X_00743","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Unidentified","EcMF"
"X_00766","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","sinopuberulum","EcMF"
"X_00789","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Unidentified","EcMF"
"X_00800","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","EcMF"
"X_00807","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","terrestris","EcMF"
"X_00860","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","variabilis","Unassigned"
"X_00862","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Meliniomyces","Unidentified","Endophyte"
"X_00870","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","metata","Other_RAF"
"X_00880","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","burlinghamiae","EcMF"
"X_00883","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Galerina","allospora","Unassigned"
"X_00888","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","coerulea","EcMF"
"X_00894","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","cascadensis","EcMF"
"X_00900","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Unidentified","Unidentified","Unidentified"
"X_00956","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavulinopsis","luteoalba","Unassigned"
"X_00962","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","quietus","EcMF"
"X_00980","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_00992","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Melanconidaceae","Melanconiella","Unidentified","Unassigned"
"X_00994","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","Unidentified","EcMF"
"X_00995","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unidentified","EcMF"
"X_00997","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","fucatum","EcMF"
"X_01008","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Sistotrema","Unidentified","EcMF"
"X_01012","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Pilodermataceae","Piloderma","Unidentified","EcMF"
"X_01015","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","muscaria","EcMF"
"X_01023","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Unidentified","EcMF"
"X_01052","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Fayodia","bisphaerigera","Unassigned"
"X_01054","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","cremicolor","EcMF"
"X_01062","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Cyclocybe","Unidentified","Unassigned"
"X_01074","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Sistotrema","Unidentified","EcMF"
"X_01082","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Hydnum","Unidentified","EcMF"
"X_01102","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","orientifulva","EcMF"
"X_01134","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Clavulina","amethystina","EcMF"
"X_01154","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","heterophylla","EcMF"
"X_01160","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_01179","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Meliniomyces","Unidentified","Endophyte"
"X_01183","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Unidentified","Unassigned"
"X_01204","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavulinopsis","laeticolor","Unassigned"
"X_01210","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Pachyphlodes","nemoralis","EcMF"
"X_01217","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Ramariopsis","Unidentified","Unassigned"
"X_01230","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","virosa","EcMF"
"X_01254","Fungi","Ascomycota","Leotiomycetes","Helotiales","Unidentified","Unidentified","Unidentified","Unidentified"
"X_01266","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","stuposa","EcMF"
"X_01277","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Pezicula","Unidentified","Endophyte"
"X_01294","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","fuckelii","Unassigned"
"X_01300","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","terricola","Unassigned"
"X_01307","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","terrestris","EcMF"
"X_01316","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Unidentified","Other_RAF"
"X_01321","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","abramsii","Other_RAF"
"X_01327","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Unidentified","Unidentified","Unidentified"
"X_01329","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Unidentified","Unidentified","Unidentified"
"X_01332","Fungi","Basidiomycota","Agaricomycetes","Tremellodendropsidales","Tremellodendropsidales_fam_Incertae_sedis","Tremellodendropsidales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_01334","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Tylosporaceae","Tylosporaceae_gen_Incertae_sedis","Unidentified","Unidentified"
"X_01336","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","pilosa","EcMF"
"X_01353","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","ellisii","EcMF"
"X_01356","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Unidentified","Unassigned"
"X_01361","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","Unidentified","EcMF"
"X_01383","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_01384","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_01385","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Keithomyces","Unidentified","Unassigned"
"X_01390","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","medullata","EcMF"
"X_01396","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","alnii","EcMF"
"X_01405","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Dissophora","globulifera","Unassigned"
"X_01413","Fungi","Basidiomycota","Microbotryomycetes","Leucosporidiales","Leucosporidiales_fam_Incertae_sedis","Leucosporidiales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_01435","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_01453","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Galerina","Unidentified","Unassigned"
"X_01472","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","olivaceogrisea","EcMF"
"X_01480","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Pseudoclathrosphaerina","Unidentified","Endophyte"
"X_01504","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidiaceae_gen_Incertae_sedis","Unidentified","Unidentified"
"X_01510","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","silvae-nigrae","Other_RAF"
"X_01526","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","scaurus","EcMF"
"X_01538","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","sericatum","Unassigned"
"X_01544","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","verruculosa","Unassigned"
"X_01551","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","lapida","EcMF"
"X_01557","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","raphanoides","EcMF"
"X_01560","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","modestus","EcMF"
"X_01564","Fungi","Mucoromycota","Umbelopsidomycetes","GS23","GS23_fam_Incertae_sedis","GS23_gen_Incertae_sedis","Unidentified","Unidentified"
"X_01585","Fungi","Rozellomycota","Rozellomycota_cls_Incertae_sedis","Rozellomycota_ord_Incertae_sedis","Rozellomycota_fam_Incertae_sedis","Rozellomycota_gen_Incertae_sedis","Unidentified","Unidentified"
"X_01615","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","pearsoniana","Other_RAF"
"X_01616","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","hiratsukae","EcMF"
"X_01617","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Tylosporaceae","Amphinema","Unidentified","EcMF"
"X_01629","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Clavulinaceae","Clavulinaceae_gen_Incertae_sedis","Unidentified","Unidentified"
"X_01649","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","umbratica","EcMF"
"X_01681","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","palmata","EcMF"
"X_01682","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","vibratilis","EcMF"
"X_01704","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Ramariopsis","Unidentified","Unassigned"
"X_01705","Fungi","Basidiomycota","Microbotryomycetes","Microbotryales","Microbotryales_fam_Incertae_sedis","Microbotryales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_01709","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","Unidentified","EcMF"
"X_01714","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","porphyria","EcMF"
"X_01728","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","fuckelii","Unassigned"
"X_01754","Fungi","Kickxellomycota","Ramicandelaberomycetes","Ramicandelaberales","Ramicandelaberales_fam_Incertae_sedis","Ramicandelaberales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_01774","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus","bovinus","EcMF"
"X_01800","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Unidentified","EcMF"
"X_01807","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","rhodocylix","Unassigned"
"X_01814","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Rhizodermea","Unidentified","Endophyte"
"X_01819","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Amplistromataceae","Amplistromataceae_gen_Incertae_sedis","Unidentified","Unidentified"
"X_01825","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Meliniomyces","Unidentified","Endophyte"
"X_01833","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Unidentified","Unidentified","Unidentified","Unidentified"
"X_01866","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unidentified","EcMF"
"X_01872","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Unidentified","Unidentified","Unidentified"
"X_01875","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Unidentified","EcMF"
"X_01879","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Unidentified","EcMF"
"X_01885","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","ochroleuca","EcMF"
"X_01892","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","Unidentified","Endophyte"
"X_01893","Fungi","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_01907","Viridiplantae","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_01926","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Unidentified","Unidentified","Unidentified"
"X_01930","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza","depressa","Unassigned"
"X_01935","Fungi","Mucoromycota","Endogonomycetes","Endogonales","Endogonales_fam_Incertae_sedis","Endogonales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_01961","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","chaetospira","Endophyte"
"X_01967","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","Unidentified","EcMF"
"X_01976","Fungi","Ascomycota","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_02004","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis","Unidentified","EcMF"
"X_02005","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","nigricans","EcMF"
"X_02020","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unidentified","EcMF"
"X_02023","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","disjungendulus","EcMF"
"X_02026","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_02032","Fungi","Basidiomycota","Agaricomycetes","Boletales","Paxillaceae","Paxillus","involutus","EcMF"
"X_02037","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Pseudotomentella","Unidentified","EcMF"
"X_02043","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Unidentified","Pathogen"
"X_02055","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","finlandica","Unassigned"
"X_02089","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","dimorpha","Other_RAF"
"X_02104","Viridiplantae","Anthophyta","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_02109","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Unidentified","Unidentified","Unidentified"
"X_02133","Viridiplantae","Anthophyta","Eudicotyledonae","Fagales","Betulaceae","Betula","Unidentified","Unassigned"
"X_02137","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","pelianthina","Other_RAF"
"X_02144","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomycetaceae_gen_Incertae_sedis","Unidentified","Unidentified"
"X_02151","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","griseomarginata","EcMF"
"X_02152","Fungi","Ascomycota","Pezizomycetes","Pezizales","Discinaceae","Hydnotrya","Unidentified","EcMF"
"X_02159","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Unidentified","EcMF"
"X_02165","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavulinopsis","luteoalba","Unassigned"
"X_02168","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Unidentified","Unassigned"
"X_02177","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","griseostipitata","EcMF"
"X_02179","Fungi","Ascomycota","Neolectomycetes","Neolectales","Neolectaceae","Neolecta","vitellina","Unassigned"
"X_02187","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Gorgomyces","Unidentified","Unassigned"
"X_02190","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Meliniomyces","Unidentified","Endophyte"
"X_02195","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Sistotrema","citriforme","EcMF"
"X_02203","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","edulis","EcMF"
"X_02208","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Unidentified","EcMF"
"X_02228","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","leptophylla","EcMF"
"X_02231","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Pseudoclathrosphaerina","Unidentified","Endophyte"
"X_02243","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma","Unidentified","EcMF"
"X_02250","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","subdulcis","EcMF"
"X_02265","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Unidentified","Unassigned"
"X_02275","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Unidentified","Unidentified","Unidentified"
"X_02284","Fungi","Basidiomycota","Agaricomycetes","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_02287","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_02305","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnum","virgineum","Unassigned"
"X_02307","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Sordariales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_02312","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrophorus","queletii","EcMF"
"X_02314","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Leptodophora","orchidicola","Unassigned"
"X_02340","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inosperma","acutofulvum","Unassigned"
"X_02343","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Unidentified","EcMF"
"X_02352","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Ramariopsis","Unidentified","Unassigned"
"X_02361","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Discosiaceae","Discosia","fici","Unassigned"
"X_02378","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","dimitica","EcMF"
"X_02470","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Meliniomyces","Unidentified","Endophyte"
"X_02473","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Unidentified","EcMF"
"X_02475","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","chlamydosporicum","Endophyte"
"X_02502","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","insidiosum","Unassigned"
"X_02507","Fungi","Kickxellomycota","Ramicandelaberomycetes","Ramicandelaberales","Ramicandelaberales_fam_Incertae_sedis","Ramicandelaberales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_02508","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Wilcoxina","Unidentified","EcMF"
"X_02517","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","pura","Other_RAF"
"X_02564","Viridiplantae","Anthophyta","Eudicotyledonae","Sapindales","Aceraceae","Acer","tegmentosum","Unassigned"
"X_02566","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","virgatum","EcMF"
"X_02584","Viridiplantae","Anthophyta","Eudicotyledonae","Fagales","Juglandaceae","Juglans","ailanthifolia","Unassigned"
"X_02601","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiaceae","Mytilinidion","Unidentified","Unassigned"
"X_02637","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_02639","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_02651","Fungi","Ascomycota","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_02686","Fungi","Mucoromycota","Endogonomycetes","Endogonales","Endogonaceae","Endogone","Unidentified","Endophyte"
"X_02691","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Unidentified","Other_RAF"
"X_02693","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Meliniomyces","Unidentified","Endophyte"
"X_02700","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Rhizophydiales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_02709","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Unidentified","EcMF"
"X_02725","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","gemmifera","Other_RAF"
"X_02729","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Unidentified","Unidentified","Unidentified","Unidentified"
"X_02751","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","Auricularia","Unidentified","Unassigned"
"X_02755","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbiliaceae_gen_Incertae_sedis","Unidentified","Unidentified"
"X_02756","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Unidentified","Unidentified","Unidentified"
"X_02759","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Herpotrichiellaceae_gen_Incertae_sedis","Unidentified","Unidentified"
